iter	Logloss
0	0.6860947452
1	0.6809261751
2	0.6754264945
3	0.6719301318
4	0.6674588357
5	0.6601021663
6	0.6562882943
7	0.6511964444
8	0.6461367771
9	0.6419049108
10	0.6374322583
11	0.633090394
12	0.6301342361
13	0.6273680466
14	0.6235218411
15	0.6207973719
16	0.6166675527
17	0.6112308664
18	0.6070456606
19	0.6032874457
20	0.5999980037
21	0.5972334971
22	0.5949121391
23	0.5909096344
24	0.5881333483
25	0.5846457163
26	0.58255933
27	0.5798982507
28	0.577527537
29	0.5761990449
30	0.5745352461
31	0.5732170208
32	0.5711330868
33	0.5685102418
34	0.5669529804
35	0.5659391869
36	0.5629804837
37	0.5617724802
38	0.5598068457
39	0.5578068001
40	0.5562646775
41	0.5546638233
42	0.5534200265
43	0.5514879618
44	0.5497769636
45	0.5480536374
46	0.5463933783
47	0.5451244441
48	0.5439400766
49	0.5421007146
50	0.540503316
51	0.5390397692
52	0.5374295096
53	0.5363339352
54	0.535651066
55	0.5344384934
56	0.5331411863
57	0.5324363996
58	0.5319039541
59	0.5305389634
60	0.5290893489
61	0.527917705
62	0.5266678368
63	0.5254184861
64	0.525097131
65	0.5240937278
66	0.5232926079
67	0.5220656199
68	0.5210750339
69	0.5192312
70	0.5184099507
71	0.516962738
72	0.5159305964
73	0.5150064114
74	0.5139274986
75	0.5133928417
76	0.5129681444
77	0.512184475
78	0.5112912951
79	0.509553548
80	0.5087441664
81	0.5077651332
82	0.5071075183
83	0.5061986107
84	0.5053018682
85	0.504148886
86	0.5034963109
87	0.5028544486
88	0.5021195997
89	0.5006654401
90	0.499627736
91	0.4989833712
92	0.4985231421
93	0.4978082964
94	0.4969688442
95	0.4967740135
96	0.4958821481
97	0.4952637187
98	0.4946915009
99	0.4944555757
100	0.494202213
101	0.4936585805
102	0.4931435986
103	0.4928843201
104	0.4924536274
105	0.4919511097
106	0.4913921646
107	0.4908332889
108	0.4901085071
109	0.4890097117
110	0.4881549699
111	0.4878252397
112	0.4873594957
113	0.4862049645
114	0.4851537613
115	0.4848352579
116	0.484065116
117	0.4837076605
118	0.4831228896
119	0.4824184522
120	0.4819258066
121	0.4818302851
122	0.4817237167
123	0.4813260129
124	0.4808487352
125	0.4803608138
126	0.4797899359
127	0.4791603119
128	0.4776769061
129	0.4776077968
130	0.4771713233
131	0.476755319
132	0.4762867733
133	0.4762190564
134	0.4755911947
135	0.4746248084
136	0.4742801428
137	0.4739295105
138	0.4735297153
139	0.4733656257
140	0.4730216074
141	0.4728525655
142	0.4721946484
143	0.4720073123
144	0.4713914722
145	0.4710326868
146	0.471024234
147	0.4707650705
148	0.4702658546
149	0.4697335184
150	0.4693016925
151	0.4691814236
152	0.4689047267
153	0.4685078856
154	0.467754087
155	0.4668749892
156	0.4667420882
157	0.4665870687
158	0.4662738965
159	0.4661142997
160	0.4656233696
161	0.4644826973
162	0.4641382848
163	0.4636434514
164	0.4630215392
165	0.4626116577
166	0.4617865634
167	0.4612314387
168	0.4609513832
169	0.4606174917
170	0.4604344383
171	0.4600343213
172	0.4597935262
173	0.4594699592
174	0.4590618812
175	0.4584516293
176	0.4580759653
177	0.4580056582
178	0.4579059267
179	0.4575436197
180	0.4572392806
181	0.456532266
182	0.4558721549
183	0.4558217576
184	0.4553526372
185	0.455298946
186	0.4547020841
187	0.4544434725
188	0.4539856712
189	0.4533672526
190	0.4530959806
191	0.4527864581
192	0.4520968915
193	0.4517908019
194	0.4517442273
195	0.4516091727
196	0.4514054381
197	0.4507953562
198	0.4500798074
199	0.4496637273
200	0.4491497201
201	0.4488174644
202	0.4485625643
203	0.4480946684
204	0.4478621341
205	0.447720198
206	0.4472697804
207	0.4468509927
208	0.4465619144
209	0.4463870911
210	0.4461254413
211	0.4458764703
212	0.4454185442
213	0.4453272349
214	0.4448185116
215	0.4446948726
216	0.4444939785
217	0.4437483247
218	0.4434809451
219	0.4429808517
220	0.4428728536
221	0.4427004429
222	0.4424355023
223	0.4415799389
224	0.4411020113
225	0.4409100214
226	0.4407077927
227	0.4401678953
228	0.4400692323
