iter	Logloss
229	0.4394227125
230	0.438967697
231	0.4388773384
232	0.4382033066
233	0.4381050971
234	0.4380052429
235	0.437930979
236	0.4376983656
237	0.4376304942
238	0.4373943554
239	0.4370416273
240	0.436940736
241	0.4364724881
242	0.4364359532
243	0.4363229531
244	0.4362691267
245	0.4358786741
246	0.4355981251
247	0.4354568109
248	0.4350143943
249	0.4342720435
250	0.4337126122
251	0.4331445358
252	0.4326670059
253	0.4325110409
254	0.4323229894
255	0.4320459531
256	0.4312453526
257	0.4312317893
258	0.4310087206
259	0.4309518659
260	0.4307427072
261	0.4303060999
262	0.4301340145
263	0.4300313055
264	0.4297889121
265	0.4293081082
266	0.4292435748
267	0.4288745026
268	0.4284855138
269	0.4281987157
270	0.4280191711
271	0.4278956458
272	0.4277164069
273	0.4275858569
274	0.4275760629
275	0.4267358015
276	0.4264353281
277	0.4261660278
278	0.4259890612
279	0.4257128505
280	0.4256515937
281	0.4254635884
282	0.4253043964
283	0.4247804771
284	0.4245484445
285	0.4245084108
286	0.4242735276
287	0.4241124086
288	0.4239788527
289	0.423911176
290	0.4235975489
291	0.423378319
292	0.4232153556
293	0.4229262121
294	0.4227724651
295	0.4225860742
296	0.4221986761
297	0.4220513818
298	0.4219607463
299	0.4217577269
300	0.4214073417
301	0.4213140544
302	0.4212597194
303	0.4207772438
304	0.4204765773
305	0.4199532767
306	0.4195128528
307	0.4189950475
308	0.4187328732
309	0.41843673
310	0.4181282772
311	0.4176447925
312	0.4176411196
313	0.4172353983
314	0.4168232757
315	0.4167016473
316	0.4166052217
317	0.4164770037
318	0.4162725542
319	0.4161141316
320	0.4156065332
321	0.4153769325
322	0.4150677602
323	0.414861459
324	0.4142623742
325	0.4141426789
326	0.414055863
327	0.41358252
328	0.4134107113
329	0.4131317134
330	0.4125073693
331	0.4121174217
332	0.4120760541
333	0.4119207964
334	0.411728471
335	0.4114954169
336	0.4109624881
337	0.4108544292
338	0.4107730588
339	0.4106617844
340	0.4102858662
341	0.4098696577
342	0.4096123131
343	0.4095780057
344	0.4095019892
345	0.4091010909
346	0.4090093473
347	0.4085036638
348	0.4082348462
349	0.4075463715
350	0.4067279168
351	0.406627346
352	0.4064159046
353	0.4062623709
354	0.4056324267
355	0.4055288354
356	0.4052640177
357	0.4048119426
358	0.4041826493
359	0.4036677334
360	0.4036062741
361	0.403503552
362	0.4034745944
363	0.4030796576
364	0.4029027372
365	0.4024810597
366	0.401416387
367	0.4011798829
368	0.4008608144
369	0.4005841959
370	0.4003849056
371	0.4000035711
372	0.3992513087
373	0.3989316381
374	0.3986034523
375	0.3982811426
376	0.3979708936
377	0.3978743728
378	0.3976757673
379	0.3971864945
380	0.3966663755
