dataset,mean_accuracy_test,mean_auc_ovo_test,gmean_test,cross_entropy_test,mean_accuracy_train,mean_auc_ovo_train,gmean_train,cross_entropy_train,train_time_sec,best_params,otimizado_com
MiceProtein.csv,0.9660493827160493,0.999364519252943,0.9619355397408679,0.11777238180354928,1.0,1.0,1.0,0.008581435364106771,21.410865783691406,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 200}",accuracy
analcatdata_authorship.csv,0.9525691699604744,0.9925931866447973,0.9485783100688655,0.5373611049853301,0.9905482041587902,0.9997349465181936,0.9819585977707226,0.4758887627893281,1.788339376449585,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100}",gmean
analcatdata_dmft.csv,0.2864321608040201,0.5805667296062739,0.26049761981303327,1.5923911297947815,0.3397590361445783,0.695599084820407,0.2874267161915032,1.5023544152198167,0.8107237815856934,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100}",accuracy
balance-scale.csv,0.7819148936170213,0.8239351851851852,0.0,0.7227990918780038,0.8854961832061069,0.9313282711336406,0.0,0.6276912513035627,0.586144208908081,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100}",gmean
banknote-authentication.csv,0.9975728155339806,,0.9972640167606986,0.015202967466396922,1.0,,1.0,0.004374508660871668,0.436506986618042,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 200}",accuracy
blood-transfusion-service-center.csv,0.7333333333333333,,0.0,0.5270292800771199,0.7702127659574468,,0.0,0.45278038060330517,0.35621047019958496,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100}",gmean
breast-w.csv,0.9523809523809523,,0.9449959948755673,0.25635931976320386,0.975,,0.9735251124788648,0.24296281036267423,0.3555572032928467,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100}",gmean
car.csv,0.74373795761079,0.8469179037709637,0.0,0.6654563809012087,0.7582720588235294,0.8723262485787721,0.0,0.671393521340819,0.8629140853881836,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100}",gmean
climate-model-simulation-crashes.csv,0.9135802469135802,,0.0,0.20088741076496477,0.9264705882352942,,0.32732683535398854,0.13795617443425512,0.7403442859649658,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100}",gmean
cmc.csv,0.5723981900452488,0.7526035898351039,0.5342160072842744,0.955736363835502,0.5782092772384034,0.7642284775346949,0.5459056893237976,0.9504639504282322,0.8218364715576172,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100}",gmean
cnae-9.csv,0.8950617283950617,0.9911266161814505,0.8873284091413829,0.322156611355984,0.975,0.9996241445839489,0.9753915644093232,0.11316959407250234,11.280801773071289,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 100}",accuracy
credit-approval.csv,0.8454106280193237,,0.846958282190641,0.3804463056382854,0.967741935483871,,0.9682845147775277,0.1265064483612834,0.49278688430786133,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100}",accuracy
credit-g.csv,0.7133333333333334,,0.35700349560270206,0.5449038478844265,0.734920634920635,,0.3692131798108466,0.5062969563382539,0.48240041732788086,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100}",gmean
cylinder-bands.csv,0.8209876543209876,,0.8006281901242804,0.42842494322565966,1.0,,1.0,0.09509035260705537,0.6696727275848389,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 200}",accuracy
diabetes.csv,0.7316017316017316,,0.6295693892606594,0.5361564994889811,0.7991718426501035,,0.7001434723830732,0.46440119307232847,0.46044492721557617,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100}",gmean
dresses-sales.csv,0.5866666666666667,,0.5536365323582665,0.9625882821286587,0.9873015873015873,,0.9856433803451959,0.13940361575797472,0.44661974906921387,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 200}",accuracy
eucalyptus.csv,0.6107784431137725,0.8648696517340585,0.5185643127132062,1.0266573191492998,0.7171428571428572,0.9345154967919463,0.6161560607457576,0.9396945925487443,1.3667914867401123,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100}",gmean
ilpd.csv,0.7314285714285714,,0.0,0.5079800616670141,0.7138964577656676,,0.0,0.49135641819679543,0.4372551441192627,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100}",gmean
kc2.csv,0.8471337579617835,,0.5345224838248488,0.4067124921212901,0.8536585365853658,,0.6087737418368174,0.3196737628306084,0.6111605167388916,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100}",gmean
mfeat-morphological.csv,0.7166666666666667,0.957658331902086,0.6627898534695326,0.8701070619744303,0.8293650793650794,0.9879751789314758,0.7977065691598538,0.6624691591203076,3.5436618328094482,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 200}",accuracy
pc1.csv,0.918918918918919,,0.0,0.22727631940026233,0.9340974212034384,,0.0,0.17268960939973613,0.7574825286865234,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100}",gmean
pc3.csv,0.8955223880597015,,0.0,0.29536724673138104,0.9014227642276422,,0.0,0.22810436712861515,1.1573467254638672,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100}",gmean
pc4.csv,0.8767123287671232,,0.291111254869791,0.26514115727573767,0.8943355119825708,,0.34513567042194754,0.2279781380037506,1.0475850105285645,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100}",gmean
